GSE_ID,GSM_ID,GPL,title,MTHFR,TYMS,MTR,MTRR,CYP1A1,GSTM1,GSTT1,GSTP1,TLR2,TLR4,TLR7,TLR9,STAT4
GSE38351,GSM940460,GPL96,Monocytes from SLE patient number 13 (SL_13),35.53333333333333,33.65,157.2,122.65,29.3,115.39999999999999,19.2,651.3,1723.8,678.4,390.9,-1,42.0
GSE38351,GSM940461,GPL96,Monocytes from SLE patient number 14 (SL_14),6.5,19.2,146.8,119.25,17.9,68.0,5.1,895.5,2690.9,710.0,202.6,-1,29.0
GSE38351,GSM940462,GPL96,Monocytes from SLE patient number 16 (SL_16),35.13333333333333,21.05,110.7,119.0,4.4,85.55,29.6,755.6,2022.8,973.1,231.8,-1,10.2
GSE38351,GSM940463,GPL96,Monocytes from SLE patient number 21 (SL_21),12.399999999999999,15.25,152.3,104.85,14.5,46.0,9.3,1070.5,2279.2,1055.4,198.7,-1,53.3
GSE38351,GSM940464,GPL96,Monocytes from RA patient number 1 (RA_1),14.133333333333333,19.549999999999997,91.1,109.35,19.6,138.45,8.3,969.6,1350.5,603.2,209.7,-1,44.7
GSE38351,GSM940465,GPL96,Monocytes from RA patient number 2 (RA_2),5.366666666666666,21.25,124.2,114.25,16.1,76.4,24.2,1116.8,1418.3,569.3,188.8,-1,48.4
GSE38351,GSM940466,GPL96,Monocytes from RA patient number 3 (RA_3),8.866666666666665,19.75,84.9,131.2,10.5,69.75,20.0,904.7,2146.5,500.7,191.0,-1,45.4
GSE38351,GSM940467,GPL96,Monocytes from RA patient number 4 (RA_4),4.966666666666666,26.15,107.4,130.3,5.3,116.6,46.1,1046.2,1247.2,829.1,133.4,-1,69.5
GSE38351,GSM940468,GPL96,Monocytes from RA patient number 5 (RA_5),14.799999999999999,36.05,79.4,109.5,24.4,144.65,12.4,1093.5,1525.6,692.3,127.8,-1,59.7
GSE38351,GSM940469,GPL96,Monocytes from RA patient number 7 (RA_7),8.166666666666666,19.3,94.5,221.75,24.8,200.25,31.1,1090.7,1952.2,908.9,135.1,-1,61.1
GSE38351,GSM940470,GPL96,Monocytes from RA patient number 9 (RA_9),10.466666666666667,43.4,101.4,90.0,20.2,107.55,11.6,945.0,1565.2,255.7,324.4,-1,83.7
GSE38351,GSM940471,GPL96,Monocytes from RA patient number 11 (RA_11),8.133333333333335,30.55,106.4,116.1,11.5,148.1,13.3,755.9,974.2,254.5,241.6,-1,62.7
GSE38351,GSM940472,GPL96,Monocytes from healthy donor number 3,6.533333333333334,30.85,119.1,103.15,26.2,73.1,54.5,1333.5,1125.8,580.6,154.9,-1,55.2
GSE38351,GSM940473,GPL96,Monocytes from healthy donor number 7,9.333333333333334,38.2,89.2,106.5,19.2,195.35000000000002,13.4,1268.0,1321.9,362.4,225.4,-1,96.9
GSE38351,GSM940474,GPL96,Monocytes from healthy donor number 9,9.633333333333335,20.85,102.7,116.0,9.1,84.80000000000001,8.3,1099.0,1015.4,460.6,188.7,-1,64.7
GSE38351,GSM940475,GPL96,Monocytes from healthy donor number 11,28.266666666666666,14.95,110.3,123.60000000000001,7.1,92.1,9.3,1307.5,1216.8,744.7,192.0,-1,55.7
GSE38351,GSM940476,GPL96,Monocytes from healthy donor number 12,18.866666666666667,29.849999999999998,128.0,101.6,4.5,182.15,11.4,1106.7,1101.3,726.4,233.9,-1,82.5
GSE38351,GSM940477,GPL96,Monocytes from healthy donor number 13,15.633333333333335,24.85,140.9,125.65,14.5,141.5,6.8,1189.8,1283.9,718.2,280.2,-1,74.3
GSE38351,GSM940478,GPL96,Monocytes from healthy donor number 14,8.799999999999999,33.25,102.0,142.55,5.9,191.55,8.0,891.2,1139.4,726.1,241.7,-1,76.0
GSE38351,GSM940479,GPL96,Monocytes from healthy donor number 18,11.033333333333333,32.449999999999996,110.7,149.15,26.3,171.14999999999998,11.8,836.9,1090.0,336.3,193.3,-1,93.8
GSE38351,GSM940480,GPL96,Monocytes from healthy donor number 20,14.1,46.3,71.3,100.95,9.6,121.4,12.9,851.0,849.2,358.6,118.1,-1,81.5
GSE38351,GSM940481,GPL96,Monocytes from healthy donor number 24,15.766666666666667,20.400000000000002,60.7,104.15,10.2,97.65,7.2,1004.0,934.0,568.7,152.9,-1,76.5
GSE38351,GSM940482,GPL96,Monocytes from healthy donor number 13, technical replicate,14.566666666666668,15.9,103.6,106.44999999999999,11.5,123.15,9.0,1155.8,1195.5,651.2,210.9,-1,86.0
GSE38351,GSM940483,GPL96,Monocytes from healthy donor number 14, technical replicate,16.266666666666666,18.15,95.4,144.05,4.1,142.8,28.6,941.5,1261.7,642.9,211.3,-1,73.0
